No	ExtEHR resource	ExtEHR field	ExtEHR #	ExtEHR description	ExtEHR type	Ext binding	ExtEHR source	Mapped Resource	Mapped Field	EQ				Modeling	Needs work	Actor	Section											
1	EHDSAddress	 	 0..*	 EHDS refined base model for Address structure	 	   	 Address model 	EuAddress								MR												
2	EHDSAddress	 use	 0..1	 Purpose of the address	 CodeableConcept	 HL7 AddressUse (preferred)  	 Purpose of the address 	EuAddress	use	EQ						MR												
3	EHDSAddress	 type	 0..1	 Distinguishes between physical addresses (those you can visit) and mailing addresses (e.g. PO Boxes and care-of addresses). Most addresses are both.	 CodeableConcept	 HL7 AddressType (preferred)  	 Distinguishes between physical addresses (those you can visit) and mailing addresses (e.g. PO Boxes and care-of addresses). Most addresses are both. 	EuAddress	type	EQ						MR												
4	EHDSAddress	 text	 0..1	 Text representation of the address	 string	   	 Text representation of the address 	EuAddress	text	EQ						MR												
5	EHDSAddress	 street	 0..1	 Name of the street	 string	   	 Name of the street 	EuAddress	line	TB						MR												
5	EHDSAddress	 street	 0..1	 Name of the street	 string	   	 Name of the street 	EuAddress	line.extension[streetName]	EQ						MR												
6	EHDSAddress	 houseNumber	 0..1	 House number	 string	   	 House number 	EuAddress	line	TB						MR												
6	EHDSAddress	 houseNumber	 0..1	 House number	 string	   	 House number 	EuAddress	line.extension[houseNumber]	EQ						MR												
7	EHDSAddress	 postBox	 0..1	 Post box	 string	   	 Post box 	EuAddress	line	TB						MR												
7	EHDSAddress	 postBox	 0..1	 Post box	 string	   	 Post box 	EuAddress	line.extension[postBox]	EQ						MR												
8	EHDSAddress	 city	 0..1	 City	 string	   	 City 	EuAddress	city	EQ						MR												
9	EHDSAddress	 postalCode	 0..1	 Postal code	 string	   	 Postal code 	EuAddress	postalCode	EQ						MR												
10	EHDSAddress	 country	 0..1	 Country name and country code	 CodeableConcept	 ISO 3166-1 alpha-2 (preferred)  	 Country name and country code 	EuAddress	country	EQ						MR												
10	EHDSAddress	 country	 0..1	 Country name and country code	 CodeableConcept	 ISO 3166-1 alpha-2 (preferred)  	 Country name and country code 	EuAddress	country.extension[countryCode]	EQ						MR												
11	EHDSAdvanceDirective	 	 0..*	 Healthcare directives concerning life or after life wishes of the patient	 	   	 Advance directive model 																					
12	EHDSAdvanceDirective	 header	 1..1	 Common header for all patient-related data	 Base	   	 Common header for all patient-related data 																					
13	EHDSAdvanceDirective	 header.subject	 1..1	 Patient/subject information	 EHDSPatient	   	 Subject 																					
14	EHDSAdvanceDirective	 header.identifier	 0..*	 Business identifier for the object	 Identifier	   	 Business identifier for the object 																					
15	EHDSAdvanceDirective	 header.authorship	 1..*	 Resource authoring details	 Base	   	 Authorship 																					
16	EHDSAdvanceDirective	 header.authorship.author[x]	 1..1	 Author(s) by whom the resource was/were authored. Multiple authors could be provided.	 EHDSHealthProfessional	   	 Author 																					
17	EHDSAdvanceDirective	 header.authorship.author[x]	 1..1	 Author(s) by whom the resource was/were authored. Multiple authors could be provided.	 EHDSOrganisation	   	 Author 																					
18	EHDSAdvanceDirective	 header.authorship.author[x]	 1..1	 Author(s) by whom the resource was/were authored. Multiple authors could be provided.	 EHDSDevice	   	 Author 																					
19	EHDSAdvanceDirective	 header.authorship.datetime	 1..1	 Date and time of the issuing the document/resource by its author.	 dateTime	   	 Date and time of authoring/issuing 																					
20	EHDSAdvanceDirective	 header.lastUpdate	 0..1	 Date and time of the last update to the document/information	 dateTime	   	 Date and time of the last update to the resource 																					
21	EHDSAdvanceDirective	 header.status	 1..1	 Status of the resource	 CodeableConcept	   	 Status of the resource 																					
22	EHDSAdvanceDirective	 header.statusReason[x]	 0..1	 Reason for the current status of the resource.	 CodeableConcept	   	 Reason for the current status of the resource. 																					
23	EHDSAdvanceDirective	 header.statusReason[x]	 0..1	 Reason for the current status of the resource.	 string	   	 Reason for the current status of the resource. 																					
24	EHDSAdvanceDirective	 header.language	 0..1	 Language in which the resource is written. Language is expressed by the IETF language tag.	 CodeableConcept	 BCP 47 (preferred)  	 Language 																					
25	EHDSAdvanceDirective	 header.version	 0..1	 Business version of the resource.	 string	   	 Version 																					
26	EHDSAdvanceDirective	 presentedForm	 0..*	 A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document	 EHDSAttachment	   	 A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document 																					
27	EHDSAdvanceDirective	 category	 0..*	 Categories of Directives related to decisions prior and after death	 CodeableConcept	 SNOMED CT (preferred)  	 Categories of Directives related to decisions prior and after death 																					
28	EHDSAdvanceDirective	 narrative	 0..1	 Textual description of the directive	 string	   	 Textual description of the directive 																					
29	EHDSAdvanceDirective	 effectivePeriod	 0..1	 Time period during which the directive is effective	 Period	   	 Time period during which the directive is effective 																					
30	EHDSAdvanceDirective	 authorisingEntity[x]	 0..1	 Person or organisation that authorizes the directive	 EHDSPatient	   	 Person or organisation that authorizes the directive 																					
31	EHDSAdvanceDirective	 authorisingEntity[x]	 0..1	 Person or organisation that authorizes the directive	 EHDSHealthProfessional	   	 Person or organisation that authorizes the directive 																					
32	EHDSAdvanceDirective	 authorisingEntity[x]	 0..1	 Person or organisation that authorizes the directive	 EHDSRelatedPerson	   	 Person or organisation that authorizes the directive 																					
33	EHDSAdvanceDirective	 authorisingEntity[x]	 0..1	 Person or organisation that authorizes the directive	 EHDSOrganisation	   	 Person or organisation that authorizes the directive 																					
34	EHDSAdvanceDirective	 relatedConditions[x]	 0..*	 The problem or disorder to which the living will applies. Multiple fields could be provided.	 CodeableConcept	 ICD-10, SNOMED CT, Orphacode (preferred)  	 The problem or disorder to which the living will applies. Multiple fields could be provided. 																					
35	EHDSAdvanceDirective	 advanceDirectiveDocument	 0..1	 Scanned source document with the living will and the patient's signature, such as a PDF.	 EHDSAttachment	   	 Scanned source document with the living will and the patient's signature, such as a PDF. 																					
36	EHDSAlert	 	 0..*	 Alert flag	 	   	 Alert model 																					
37	EHDSAlert	 header	 1..1	 Common header for all patient-related data	 Base	   	 Common header for all patient-related data 																					
38	EHDSAlert	 header.subject	 1..1	 Patient/subject information	 EHDSPatient	   	 Subject 																					
39	EHDSAlert	 header.identifier	 0..*	 Business identifier for the object	 Identifier	   	 Business identifier for the object 																					
40	EHDSAlert	 header.authorship	 1..*	 Resource authoring details	 Base	   	 Authorship 																					
41	EHDSAlert	 header.authorship.author[x]	 1..1	 Author(s) by whom the resource was/were authored. Multiple authors could be provided.	 EHDSHealthProfessional	   	 Author 																					
42	EHDSAlert	 header.authorship.author[x]	 1..1	 Author(s) by whom the resource was/were authored. Multiple authors could be provided.	 EHDSOrganisation	   	 Author 																					
43	EHDSAlert	 header.authorship.author[x]	 1..1	 Author(s) by whom the resource was/were authored. Multiple authors could be provided.	 EHDSDevice	   	 Author 																					
44	EHDSAlert	 header.authorship.datetime	 1..1	 Date and time of the issuing the document/resource by its author.	 dateTime	   	 Date and time of authoring/issuing 																					
45	EHDSAlert	 header.lastUpdate	 0..1	 Date and time of the last update to the document/information	 dateTime	   	 Date and time of the last update to the resource 																					
46	EHDSAlert	 header.status	 1..1	 Status of the resource	 CodeableConcept	   	 Status of the resource 																					
47	EHDSAlert	 header.statusReason[x]	 0..1	 Reason for the current status of the resource.	 CodeableConcept	   	 Reason for the current status of the resource. 																					
48	EHDSAlert	 header.statusReason[x]	 0..1	 Reason for the current status of the resource.	 string	   	 Reason for the current status of the resource. 																					
49	EHDSAlert	 header.language	 0..1	 Language in which the resource is written. Language is expressed by the IETF language tag.	 CodeableConcept	 BCP 47 (preferred)  	 Language 																					
50	EHDSAlert	 header.version	 0..1	 Business version of the resource.	 string	   	 Version 																					
51	EHDSAlert	 presentedForm	 0..*	 A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document	 EHDSAttachment	   	 A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document 																					
